business_name,primary_surface_used,usd_irr_quote_detected,aed_irr_quote_detected,remittance_quote_detected,repeated_quote_signal,freshness_status,parseability_score,reliability_score,basket_use_status,usable_record_count,numeric_quote_count,top_signal_sample
انتقال پول از دبی امارات به ایران با کمترین کارمزد در 1404 - سهل پرداخت,website:https://sahlpardakht.com/%D8%B1%D9%88%D8%B4-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%D9%88%D8%A7%D8%B1%DB%8C%D8%B2-%D9%BE%D9%88%D9%84-%D8%AD%D9%88%D8%A7%D9%84%D9%87-%D8%A7%D8%B1%D8%B2%DB%8C-%D8%AF%D8%B1%D9%87%D9%85-%D8%AF%D9%84,True,True,True,True,stale,74,87,stale,6,6,"یکی از ساده‌ترین روش‌ها برای انتقال پول از امارات به ایران، حمل پول نقد توسط مسافر است. محدودیت‌ها و سقف مجاز: بر اساس قوانین امارات، هر فرد مجاز است تا سقف 100,000 درهم امارات (تقریباً 27,000 دلار آمریکا) بدون نیاز به اعلام به مقامات، حمل ..."
حواله درهم دبی امارات,website:https://rialxe.com/money-transfer-to-uae-dubai,False,True,True,True,stale,70,76,stale,3,3,"--> حواله درهم دبی امارات | حواله دستی | صرافی ریال {""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""WebPage"",""@id"":""https:\/\/rialxe.com\/money-transfer-to-uae-dubai\/"",""url"":""https:\/\/rialxe.com\/money-transfer-to-uae-dubai\/"",""nam..."
صرافی احمدیانی - ارسال حواله ارزی به کل دنیا با کمترین قیمت,rate_page:https://sarafi-havale.com/dollar-remittance,True,False,True,True,stale,71,74,stale,2,2,"حواله دلار آمریکا- ارسال دلار شرکتی آمریکا - صرافی احمدیانی img:is([sizes=auto i],[sizes^=""auto,"" i]){contain-intrinsic-size:3000px 1500px} /*# sourceURL=wp-img-auto-sizes-contain-inline-css */ :root{--ast-post-nav-space:0;--ast-container-d..."
حواله درهم با بهترین نرخ و تحویل نقدی در دبی! پرداخت 1 ساعته,website:https://fnxshipping.co/aed-transfer,False,True,True,True,stale,74,71,stale,2,2,قیمت تقریبی هر درهم 2020 حدود 3500 تومان 2026 حدود 47٬000 تومان همان‌طور که مشاهده می‌کنید، نرخ حواله درهم در طول سال‌ها افزایش قابل توجهی داشته و ممکن است روزانه یا حتی در طول یک روز تغییر کند. تفاوت قیمت اسکناس درهم با حواله درهم
حواله درهم به امارات با امنیت بالا و هزینه پایین,website:https://mysaraf.com/uae-dirham-remittance,False,True,True,True,stale,74,71,stale,2,2,"© کپی رایت 2026 نرخ حواله درهم امارات قیمت حواله درهم امارات امروز پنجشنبه 7 اسفند 1404 در بازار 45,950 تومان است که نسبت به دیروز 15,050 تومان (48.7 درصد) افزایش یافته است هر حواله درهم امارات دیروز با قیمت 30,900 تومان معامله شده است. توج..."
انتقال پول از دبی به ایران,website:https://farakonesh.org/currency-remittance/transfer-money-iran/dubai,False,True,True,True,stale,70,70,stale,2,2,"انتقال پول از دبی به ایران (دلارو درهم) حواله دستی و بانکی | فراکنش {""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""WebPage"",""@id"":""https:\/\/farakonesh.org\/currency-remittance\/transfer-money-iran\/dubai\/"",""url"":""https:\/\/farakon..."
5 Best Ways to Send Money to Iran from UAE,website:https://en.sarafi-havale.com/5-best-ways-to-send-money-to-iran-from-uae-fast-secure,False,True,True,True,stale,67,68,stale,2,2,"For personal needs, such as supporting family, paying university fees, or medical expenses, it is generally tolerated provided you use proper channels that comply with UAE regulations. However, commercial transfers for sanctioned goods are ..."
ارسال حواله به دبی,rate_page:https://sarafibahmani.com/,False,True,True,False,stale,70,52,stale,1,1,"{""@context"":""https://schema.org"",""@graph"":[{""@type"":""WebPage"",""@id"":""https://sarafibahmani.com/"",""url"":""https://sarafibahmani.com/"",""name"":""معتبرترین صرافی در ایران - صرافی بهمنی‌"",""isPartOf"":{""@id"":""https://sarafibahmani.com/#website""},""da..."
1 United Arab Emirates Dirham (AED) to Iranian Rials (IRR) today,website:https://exchangerate.guru/aed/irr/1,False,False,True,False,fresh,48,54,no_usable_signal,0,0,
مرگ مرموز صراف معروف ایرانی در دبی + عکس یوسف آدم‌پیرا,website:https://rokna.net/%D8%A8%D8%AE%D8%B4-%D8%AD%D8%A7%D8%AF%D8%AB%D9%87-245/1228502-%D9%85%D8%B1%DA%AF-%D9%85%D8%B1%D9%85%D9%88%D8%B2-%D8%B5%D8%B1%D8%A7%D9%81-%D9%85%D8%B9%D8%B1%D9%88%D9%81-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D8%AF%D8%A8%DB%8C-%D8%B9%DA%A9%D8%B3,False,False,True,False,fresh,50,54,no_usable_signal,0,0,
Report: UAE unlocks up to $20B for Tehran as US-Iran talks enter final stage,website:https://israelnationalnews.com/news/428564,False,False,True,False,fresh,44,52,no_usable_signal,0,0,
ارسال پول به دبی,website:https://panypay.com/10073-order-%D8%A7%D8%B1%D8%B3%D8%A7%D9%84_%D9%BE%D9%88%D9%84_%D8%A8%D9%87_%D8%AF%D8%A8%DB%8C_%7C_%D9%82%DB%8C%D9%85%D8%AA_%D8%AD%D9%88%D8%A7%D9%84%D9%87_%D8%AF%D8%B1%D9%87%D9%85_%D9%88_%D8%AF%D9%84%D8%A7%D8%B1_%D8%A8%D9%87_%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA,False,False,True,False,unknown,68,47,no_usable_signal,0,0,
قیمت لحظه ای درهم امارات به تومان,website:https://iranrebate.com/prices/aed,False,False,True,False,recent,46,47,no_usable_signal,0,0,
Easy Online Money Transfer from the UAE - Al Ansari Exchange,website:https://alansariexchange.com/,False,False,False,False,fresh,38,41,no_usable_signal,0,0,
"AL AHALIA EXCHANGE – Best Rate , Best Service",website:https://ahaliaexchange.com/,False,False,False,False,recent,50,40,no_usable_signal,0,0,
Financial Diplomacy: UAE Moves to Unlock Billions for Iran to Secure Maritime Peace,website:https://kyivpost.com/post/78099,False,False,True,False,recent,26,38,no_usable_signal,0,0,
UAE Dirham to Iranian Rial exchange rate - AED to IRR currency converter,website:https://moneyexchangerate.org/currencyexchange/aed/irr,False,False,True,False,unknown,48,38,no_usable_signal,0,0,
قیمت حواله درهم امارات (دبی),website:https://javadix.com/aed,False,False,True,False,stale,64,37,no_usable_signal,0,0,
Money Exchange UAE,website:https://luluexchange.com/,False,False,False,False,recent,38,35,no_usable_signal,0,0,
"Assault on Dubai: In immersive detail, how Iran unleashed terror on 'the safest country in the world' - Deep Dive",website:https://dailymail.com/news/article-15606725/Iran-assault-Dubai-drones-missiles-tourist.html,False,False,True,False,stale,56,33,no_usable_signal,0,0,
"UAE denies reports of $3 billion transfer to Iran, calls allegations 'false and unfounded'",website:https://timesofindia.indiatimes.com/world/middle-east/uae-denies-reports-of-3-billion-transfer-to-iran-calls-allegations-false-and-unfounded/articleshow/131703474.cms,False,False,True,False,unknown,26,28,no_usable_signal,0,0,
Which Dubai exchange offices Accept Iranian Rial (IRR)?,website:https://sayamag.com/dubai-exchanges,False,False,True,False,unknown,24,27,no_usable_signal,0,0,
بهترین صرافی ایرانی در دبی؛ تبدیل ارز با نرخ واقعی و خدمات مطمئن,website:https://sarafexchange.com/%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D8%B5%D8%B1%D8%A7%D9%81%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D9%88-%D8%AF%D8%A8%DB%8C-saraf-exchange,False,False,True,False,stale,38,25,no_usable_signal,0,0,
صرافی ایرانی در دبی با کمترین کارمزد - اکس امیرتس,website:https://exemirates.ae/%D8%B5%D8%B1%D8%A7%D9%81%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C-%D8%AF%D8%B1-%D8%AF%D8%A8%DB%8C,False,False,True,False,stale,38,25,no_usable_signal,0,0,
Home - Daryabi Exchange,website:https://daryabiexchange.com/,False,False,True,False,stale,30,22,no_usable_signal,0,0,
Index Exchange,website:https://indexexchange.ae/,False,False,False,False,unknown,30,22,no_usable_signal,0,0,
تحويل الأموال وتبديل العملات من إيران إلى دبي – We Know Dubai,website:https://weknowdubai.co.uk/ar/%D8%AA%D8%AD%D9%88%D9%8A%D9%84-%D8%A7%D9%84%D8%A3%D9%85%D9%88%D8%A7%D9%84-%D9%88%D8%AA%D8%A8%D8%AF%D9%8A%D9%84-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D9%86-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86,False,False,False,False,unknown,32,22,no_usable_signal,0,0,
Al Razouki International Exchange,website:https://alrazoukiexchange.com/,False,False,False,False,unknown,26,20,no_usable_signal,0,0,
"Citi, Standard Chartered Shift Dubai Staff To Remote Work Amidst Iran Threat",website:https://timesnownews.com/business-economy/economy/iran-threat-rattles-dubai-citi-standard-chartered-evacuate-offices-begin-remote-work-article-153815326,False,False,True,False,stale,26,20,no_usable_signal,0,0,
Dinar Exchange,website:https://dinarexchange.ae/,False,False,False,False,unknown,26,20,no_usable_signal,0,0,
"Foreign Exchange, Remittances, Money Transfer, Bill Payment, WPS",website:https://alfuadexchange.com/,False,False,False,False,unknown,26,20,no_usable_signal,0,0,
انتقال پول به دبی / حواله درهم به دبی / حواله دلار به امارات,website:https://mysterypay.com/32-order-%D8%A7%D8%B1%D8%B3%D8%A7%D9%84_%D9%BE%D9%88%D9%84_%D8%A8%D9%87_%D8%AF%D8%A8%DB%8C_(_%D9%82%DB%8C%D9%85%D8%AA_%D8%AD%D9%88%D8%A7%D9%84%D9%87_%D8%AF%D8%B1%D9%87%D9%85___%D8%AF%D9%84%D8%A7%D8%B1_%D8%A8%D9%87_%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_,False,False,False,False,unknown,26,20,no_usable_signal,0,0,
Home,website:https://darexchange.com/,False,False,False,False,unknown,18,16,no_usable_signal,0,0,
Currency Exchange & Money Transfer Company in UAE,website:https://gccexchange.com/,False,False,False,False,unknown,6,11,no_usable_signal,0,0,
Money Exchanges in Deira,website:https://yellowpages-uae.com/uae/deira/money-changers-and-exchange-dealers,False,False,False,False,unknown,6,11,no_usable_signal,0,0,
Remittances Dubai,website:https://neardubai.com/financial-services/remittances.php,False,False,False,False,unknown,6,11,no_usable_signal,0,0,
Home - Mesrkanloo International Exchange,website:https://mesrkanlooexchange.com/,False,False,False,False,stale,6,3,no_usable_signal,0,0,
